country,scope_label,kind,item_it,month,state
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,gennaio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,febbraio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,marzo,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,aprile,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,maggio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,giugno,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,luglio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,agosto,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,settembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,ottobre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,novembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,nespole,dicembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,gennaio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,febbraio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,marzo,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,aprile,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,maggio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,giugno,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,luglio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,agosto,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,settembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,ottobre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,novembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,peperoni,dicembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,gennaio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,febbraio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,marzo,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,aprile,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,maggio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,giugno,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,luglio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,agosto,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,settembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,ottobre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,novembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pere,dicembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,gennaio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,febbraio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,marzo,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,aprile,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,maggio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,giugno,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,luglio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,agosto,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,settembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,pesche,ottobre,not_listed
